occurenceID,subspecies,decimalLatitude,decimalLongitude
ICN-4250,gigas,4.448055556,-74.3
ICN-4735,gigas,4.381666667,-74.32138889
ICN-4739,gigas,4.424722222,-74.34194444
ICN-4900,gigas,4.533055556,-73.93305556
ICN-4901,gigas,4.533055556,-73.93305556
ICN-4902,gigas,4.448055556,-74.3
ICN-4906,gigas,6.325833333,-72.74916667
ICN-15045,gigas,5.1825,-73.27611111
ICN-18193,gigas,7.416666667,-72.43305556
ICN-26797,gigas,6.006944444,-73.18138889
ICN-36898,gigas,6.633333333,-73.39416667
ICN-37573,gigas,6.720555556,-72.82138889
