occurenceID,subspecies,decimalLatitude,decimalLongitude
ICN-4886,cucullata,1.166666667,-77.19972222
ICN-4887,cucullata,2.333055556,-76.08305556
ICN-4889,cucullata,2.166666667,-76.43305556
ICN-4890,cucullata,2.166666667,-76.43305556
ICN-4891,cucullata,2.166666667,-76.43305556
ICN-4892,cucullata,2.166666667,-76.43305556
ICN-4893,cucullata,2.166666667,-76.43305556
ICN-4894,cucullata,2.166666667,-76.43305556
ICN-4896,cucullata,2.533055556,-76.94972222
ICN-4897,cucullata,2.333055556,-76.08305556
ICN-8521,cucullata,2.511944444,-76.86861111
ICN-29450,cucullata,2.579166667,-76.9075
