Specimen,Population,Sex,Patch,Barb_width,Barbule_length,Barbule_width,Barbule_angle,Barbule_spacing
4890,cucullata,F,Dorsal,46.7,185.2,27.72,35.74,54.30
4890,cucullata,F,Dorsal,48.6,170.6,22.87,24.49,60.33
4890,cucullata,F,Dorsal,51.38,138.16,25.63,37.26,50.09
4890,cucullata,F,Dorsal,42.28,177.72,19.88,35.84,50.13
4890,cucullata,F,Dorsal,45.86,193.27,26.95,31.09,52.30
4890,cucullata,F,Dorsal,42.54,168.54,24.59,28.66,46.05
4890,cucullata,F,Dorsal,30.77,151.81,27.49,33.86,56.28
4890,cucullata,F,Dorsal,34.84,204.48,28.77,22.13,58.15
4890,cucullata,F,Dorsal,48.3,175.54,30.5,15.62,51.13
4890,cucullata,F,Dorsal,37.43,176.09,22.67,24.11,48.11
4890,cucullata,F,Dorsal,25.24,134.54,25.88,28.03,55.30
4890,cucullata,F,Dorsal,38.95,190.42,33.7,31.62,43.05
29450,cucullata,M,Dorsal,32.5,145.3,33.58,25.46,49.25
29450,cucullata,M,Dorsal,43.58,173.03,21.62,35.1,44.83
29450,cucullata,M,Dorsal,38.93,216.66,32.5,39.85,52.14
29450,cucullata,M,Dorsal,23.81,243.87,38.08,34.71,43.75
29450,cucullata,M,Dorsal,35.2,202.67,34.86,37.22,55.63
29450,cucullata,M,Dorsal,40.52,240.29,31.43,50.25,45.17
29450,cucullata,M,Dorsal,42.64,195.59,27.63,28.28,50.28
29450,cucullata,M,Dorsal,37.28,220.57,35.79,37.81,41.14
29450,cucullata,M,Dorsal,44.34,166.2,33.58,29.61,46.28
29450,cucullata,M,Dorsal,39.46,193.63,33.51,28.43,54.15
29450,cucullata,M,Dorsal,38.92,141.97,32.43,32.27,44.47
29450,cucullata,M,Dorsal,39.46,245.12,32.45,26.19,55.12
29450,cucullata,M,Ventral,26.85,251.5,25.02,21.99,59.85
29450,cucullata,M,Ventral,26.65,265.85,30.51,29.88,52.52
29450,cucullata,M,Ventral,24.06,415.42,29.43,27.84,52.31
29450,cucullata,M,Ventral,29.85,487.87,29.43,23.4,51.71
29450,cucullata,M,Ventral,26.45,382.3,31.54,29.82,55.69
29450,cucullata,M,Ventral,21.98,376.51,29.67,43.15,58.66
29450,cucullata,M,Ventral,30.74,328.77,28.45,33.29,50.90
29450,cucullata,M,Ventral,30.32,328.9,31.99,21.3,64.43
29450,cucullata,M,Ventral,34.04,345.34,35.89,23.03,51.27
29450,cucullata,M,Ventral,24.01,389.5,29.85,31.24,52.22
29450,cucullata,M,Ventral,35.73,409.22,22.7,25.09,54.02
29450,cucullata,M,Ventral,33.25,333.18,26.13,30.96,54.87
4907,gigas,F,Dorsal,54.15,187.74,20.29,35.55,50.82
4907,gigas,F,Dorsal,42.16,287.61,26.96,30.53,58.53
4907,gigas,F,Dorsal,47.68,258.29,30.44,32.43,45.19
4907,gigas,F,Dorsal,46.6,225.91,24.17,44.21,57.38
