Especimen,Poblacion,Sexo,Negro_R,Negro_G,Negro_B,Negro_UV,Blanco_R,Blanco_G,Blanco_B,Blanco_UV,Nuca_R,Nuca_G,Nuca_B,Nuca_UV,Nuca_R_Norm,Nuca_G_Norm,Nuca_B_Norm,Nuca_UV_Norm,DorsoA_R,DorsoA_G,DorsoA_B,DorsoA_UV,DorsoA_R_Norm,DorsoA_G_Norm,DorsoA_B_Norm,DorsoA_UV_Norm,DorsoM_R,DorsoM_G,DorsoM_B,DorsoM_UV,DorsoM_R_Norm,DorsoM_G_Norm,DorsoM_B_Norm,DorsoM_UV_Norm,DorsoB_R,DorsoB_G,DorsoB_B,DorsoB_UV,DorsoB_R_Norm,DorsoB_G_Norm,DorsoB_B_Norm,DorsoB_UV_Norm,CobA_R,CobA_G,CobA_B,CobA_UV,CobA_R_Norm,CobA_G_Norm,CobA_B_Norm,CobA_UV_Norm
ICN-4250,gigas,H,3.856,8.104,14.601,3.02,255,255,255,255,60.856,127.007,204.587,142.588,0.226961425,0.481591439,0.790294469,0.553885229,56.699,125.467,194.91,137.897,0.210409168,0.475353995,0.750040558,0.535268672,82.56,134.266,180.197,125.166,0.313381964,0.510992483,0.68883814,0.484744821,72.957,128.016,176.699,127.917,0.275144937,0.48567818,0.674287331,0.495662354,86.128,135.358,192.687,138.791,0.327588953,0.515415398,0.740793431,0.538816573
ICN-4735,gigas,M,3.537,7.022,11.681,4.456,253.977,255,255,255,75.436,145.468,214.169,149.526,0.28709072,0.558299527,0.832191485,0.579020052,77.737,141.578,204.74,129.989,0.29627855,0.542612651,0.793439888,0.501041733,78.774,135.689,186.944,133.996,0.300419262,0.518864577,0.720301333,0.517034932,70.707,132.493,188.435,147.734,0.268207954,0.505976337,0.726429091,0.571867616,80.551,129.458,191.901,153.461,0.307514774,0.493737348,0.740673766,0.594725876
ICN-4739,gigas,H,3.399,5.834,9.309,3.945,254.855,255,255,255,76.555,150.643,216.609,150.658,0.290929626,0.581174799,0.84374275,0.584385892,80.761,145.309,183.076,140.616,0.30765621,0.559767384,0.707258304,0.544386688,81.969,136.352,189.153,131.649,0.312460232,0.523819462,0.731992625,0.508669415,68.875,129.697,187.086,147.483,0.260387503,0.49711036,0.723579618,0.57173926,79.731,133.43,184.158,144.131,0.303560066,0.51209234,0.71166221,0.558387604
ICN-4900,gigas,M,2.978,4.595,7.911,3.95,224.593,255,255,225.334,57.609,124.491,198.893,124.222,0.246513097,0.478808331,0.772927973,0.543273227,62.709,116.756,179.498,119.054,0.26952598,0.447918372,0.694433989,0.519929173,70.356,129.185,186.828,122.061,0.304031767,0.497553963,0.724099414,0.533511907,47.903,117.037,185.639,123.927,0.202716423,0.449040554,0.719287382,0.5419407,72.994,124.909,199.7,143.433,0.315935293,0.480477626,0.776194003,0.630050049
ICN-4901,gigas,M,3.474,6.055,11.307,4.303,249.722,255,255,255,65.791,134.341,211.192,153.526,0.253066015,0.515318645,0.820232834,0.595232492,65.771,131.263,184.667,138.644,0.252984796,0.502954468,0.711386868,0.535869994,75.824,138.403,177.846,148.513,0.293809493,0.531635502,0.683396733,0.575236241,46.712,102.111,174.211,127.362,0.175587213,0.385852297,0.668480424,0.490867462,81.743,130.892,179.706,150.413,0.317846236,0.501464179,0.691029287,0.582815111
ICN-4902,gigas,H,3.855,7.972,12.258,2.601,251.256,254.999,254.889,254.953,75.256,124.51,203.085,145.585,0.288604331,0.471762196,0.786490597,0.566605377,62.03,112.789,184.633,141.22,0.235144563,0.424313941,0.710440958,0.549308109,81.514,134.863,176.843,146.145,0.313899297,0.513672594,0.67833459,0.568824499,67.063,129.174,189.282,130.953,0.255488054,0.490642723,0.729601741,0.508622876,90.82,136.185,185.741,151.934,0.351514343,0.519024236,0.715007563,0.591764678
ICN-4906,gigas,H,2.687,5.372,6.834,3.517,229.257,255,255,255,60.608,120.655,187.658,122.809,0.255642848,0.461819187,0.728641313,0.474354131,81.823,106.521,188.381,140.315,0.349278369,0.405198936,0.731554685,0.543965198,73.734,127.533,180.357,128.316,0.313576378,0.489372186,0.699221489,0.496252232,46.291,114.761,168.823,158.361,0.192452664,0.438208054,0.652744534,0.615723528,68.243,127.068,172.506,146.814,0.289341043,0.487509414,0.667585407,0.5698079
ICN-15045,gigas,H,3.407,6.909,12.109,1.787,255,255,255,254.949,80.521,142.752,215.549,125.601,0.306502963,0.547553116,0.83757735,0.48907024,84.962,126.723,187.115,138.787,0.324154488,0.482943759,0.720512493,0.541155466,70.824,131.56,179.965,145.272,0.267960555,0.502440637,0.691075421,0.566771474,75.651,124.34,187.652,123.884,0.287146304,0.473338412,0.722723362,0.482288021,87.413,139.21,189.09,133.47,0.333896412,0.533276096,0.728643713,0.520153104
ICN-18193,gigas,M,3.546,6.628,10.473,4.733,252.74,255,254.984,255,64.6,121.538,187.578,134.555,0.245005899,0.462652795,0.724323241,0.518733992,63.866,125.212,185.791,131.322,0.242060403,0.477445123,0.717014776,0.505815789,73.553,120.097,172.223,130.484,0.28093373,0.456851014,0.66152443,0.502467365,48.773,106.619,163.168,146.102,0.181493134,0.402585638,0.624491332,0.564872716,74.651,133.834,186.99,154.807,0.285339936,0.512159181,0.721918441,0.599655568
ICN-26797,gigas,H,3.153,5.967,10.291,3.906,245.506,255,254.99,255,66.353,116.849,201.659,170.19,0.260776636,0.445250228,0.782054688,0.662238046,65.902,109.683,175.967,143.131,0.258915714,0.416474925,0.677060388,0.554473623,79.512,130.181,164.467,130.147,0.315073467,0.498785302,0.630063874,0.502763905,75.311,133.799,176.331,144.848,0.297739248,0.513313497,0.67854793,0.5613117,62.224,111.132,176.677,130.523,0.243739504,0.422293431,0.679961912,0.504261352
ICN-36898,gigas,M,2.468,3.42,6.128,6.734,254.988,255,255,255,71.623,140.976,186.271,163.783,0.273859496,0.546768424,0.723837957,0.6325836,72.517,139.665,183.387,140.344,0.27739981,0.541557358,0.712249671,0.538172766,67.829,121.222,186.577,150.62,0.258834944,0.468248668,0.725067505,0.579563855,65.002,113.61,162.094,154.791,0.247639791,0.437991891,0.626691633,0.596364383,84.055,129.6,192.963,153.128,0.32309124,0.501550203,0.750727281,0.589665923
ICN-37573,gigas,M,3.01,4.899,6.605,5.597,217.382,255,255,255,56.334,121.286,190.861,150.671,0.248745172,0.465359995,0.741786268,0.581685064,60.049,125.313,184.067,135.68,0.266074861,0.48146149,0.714434671,0.521577527,63.76,128.167,168.19,139.696,0.28338589,0.492872879,0.650516315,0.53767998,57.379,107.347,159.665,151.586,0.253619876,0.409626511,0.616195978,0.585353825,68.16,126.393,170.885,154.681,0.303910959,0.485779745,0.66136597,0.597763459
ICN-36812,venezuelae,M,3.738,7.893,11.847,3.27,249.356,255,255,225.894,80.741,133.37,186.084,147.854,0.313507153,0.507784077,0.716573515,0.649453788,81.106,146.929,179.359,157.929,0.314993201,0.562655044,0.688916032,0.694709465,80.965,140.194,184.318,149.26,0.314419139,0.535399645,0.709310599,0.655769369,57.594,116.643,183.597,139.418,0.219267318,0.440092753,0.706345387,0.611560299,69.453,144.56,187.432,120.094,0.26754961,0.553068104,0.72211735,0.524759235
ICN-36856,venezuelae,M,4.124,8.214,13.473,7.932,253.668,255,254.996,255,75.77,144.279,198.612,178.874,0.287107684,0.551348132,0.766548113,0.691882397,78.317,137.438,180.304,165.891,0.297314301,0.523627758,0.690745809,0.63933411,76.531,133.288,173.739,148.476,0.290157247,0.50681157,0.663564133,0.568847443,57.597,126.801,172.606,174.868,0.214282852,0.480525638,0.658873068,0.675668237,63.049,144.793,186.521,134.509,0.236130702,0.553430908,0.716486629,0.512316447
ICN-37068,venezuelae,H,3.244,6.412,9.715,7.422,245.365,255,255,255,70.699,142.315,190.005,180.038,0.278600369,0.54669976,0.735022525,0.697218654,68.523,134.823,189.389,176.562,0.269613127,0.51656154,0.73251116,0.683178635,61.698,124.496,171.07,150.082,0.241424742,0.475018907,0.65782661,0.576222443,49.571,121.619,175.379,177.21,0.191338215,0.46344554,0.67539393,0.685795992,62.162,130.823,184.824,142.198,0.243341139,0.500470658,0.713900157,0.544377933
ICN-37094,venezuelae,M,3.385,6.731,11.619,7.937,223.903,255,255,255,64.577,122.809,197.166,179.485,0.277492087,0.467549311,0.762372576,0.694349215,58.558,119.041,188.093,180.658,0.250197263,0.452372225,0.725093578,0.699096991,55.168,115.325,168.771,168.697,0.234824368,0.437404589,0.64570365,0.650684238,42.858,104.267,163.697,178.786,0.179001261,0.392864192,0.624855679,0.691519977,69.54,133.008,196.835,126.293,0.299998186,0.508629752,0.761012569,0.479051902
ICN-4886,cucullata,M,4.157,9.41,13.742,5.524,227.035,255,255,243.886,57.622,118.696,195.752,132.817,0.239884601,0.444993689,0.754420579,0.53403227,62.447,133.791,205.774,136.174,0.261533215,0.506457918,0.79596117,0.548115891,57.623,120.402,179.126,154.364,0.239889087,0.451940226,0.685506802,0.62442839,62.952,119.818,170.482,162.42,0.263799029,0.449562279,0.649677938,0.658225724,55.721,123.823,174.921,157.646,0.231355271,0.465869946,0.668077328,0.638197364
